"id","time_out","time_in","tool_id","employee_id","job_no","costcode","time_rented","cost"
"31","2015","2015","000043","13","15024","12345123","1","5"
"32","2015","2015","000066","13","14163","12345678","1","5"
"33","2015","2015","000043","13","14163","12345123","1","5"
"34","2015","2015","000052","13","14163","12345678","1","5"
"35","2015","2015","000065","13","14163","12345123","1","5"
"36","2015","2015","000043","13","14163","12345678","1","5"
"37","2015","2015","000043","13","14163","12345678","1","5"
"38","2015","2015","000043","13","14163","12345678","1","5"
"39","2015","2015","000001","13","14163","12345678","1","10"
"40","2015","2015","000091","13","14163","12345678","1","5"
"41","2015","2015","000006","13","14163","12345678","1","15"
"42","2015","2015","000043","13","14163","12345678","1","5"
